Membership No  Date Joined  Active  
    29469      2018-9-23    no    
    16972      2018-4-7     yes   
    67826      2019-9-12    yes   
    30293      2019-7-2     yes   
    84519      2018-3-6     no    
    27619      2018-7-3     no    
    53141      2016-5-2     yes   
    12866      2015-12-11   no    
    81854      2016-10-3    yes   
    63928      2018-5-25    yes   
    51266      2019-4-10    yes   
    54877      2016-11-15   yes   
    65366      2020-4-25    no    
    36708      2019-8-18    no    
    10829      2020-2-18    no    
    79230      2018-4-10    yes   
    13206      2016-11-3    yes   
    23281      2016-9-14    no    
    95257      2018-6-1     yes   
    22742      2020-4-23    no    
