Membership No  Date Joined  Active  
    50986      2019-3-7     no    
    55934      2017-7-5     no    
    79486      2017-12-25   no    
    67014      2020-10-3    no    
    70575      2020-1-8     no    
    83169      2015-5-13    no    
    67787      2015-12-16   no    
    66815      2016-10-6    no    
    91169      2015-1-12    no    
    26975      2016-2-11    no    
    93658      2018-4-2     no    
    84388      2017-3-23    no    
    42273      2017-6-7     no    
    18908      2017-3-15    no    
    70536      2016-7-8     no    
    67787      2015-12-16   no    
    66815      2016-10-6    no    
    91169      2015-1-12    no    
    26975      2016-2-11    no    
    93658      2018-4-2     no    
    84388      2017-3-23    no    
    42273      2017-6-7     no    
    18908      2017-3-15    no    
    70536      2016-7-8     no    
