Membership No  Date Joined  Active  
    34496      2015-11-18   no    
    91306      2016-11-25   no    
    95751      2020-1-5     no    
    17339      2020-12-19   no    
    28510      2016-6-10    no    
    43298      2017-2-25    no    
    73608      2017-11-8    no    
    63923      2015-10-10   no    
    66301      2020-9-20    no    
    58427      2015-2-6     no    
    82586      2016-6-18    no    
    50662      2017-9-21    no    
    13597      2017-9-2     no    
    31875      2020-9-8     no    
